BusinessName,AddressLine2,AddressLine3,PostCode,Longitude,Latitude,Cost,Quality,Food Type 1,Food Type 2,Food Type 3
2 Go,397 Dumbarton Road,Glasgow,G11 6BE,-4.308613,55.870617,,,,,
200 St Vincent Street,200 St Vincent Street,Glasgow,G2 5SG,-4.260957,55.86229,,,,,
279 Cafe Bistro,279 Dumbarton Road,Glasgow,G11 6AB,-4.303939,55.870516,,,,,
32nd Signal Regiment (v),21 Jardine Street,Glasgow,G20 6JU,-4.277246,55.877088,,,,,
916 - Diner,916 Sauchiehall Street,Glasgow,G3 7TF,-4.284479,55.865774,,,,,
Abercromby Cafe,168 Abercromby Street,Glasgow,G40 2RZ,-4.229148,55.852688,,,,,
A-Cakes,39 Milnbank Street,Glasgow,G31 3AQ,-4.221675,55.864803,,,,,
Ad Lib,33 Ingram Street,Glasgow,G1 1HA,-4.242358,55.859008,,,,,
Agra Restaurant,995 Crow Road,Glasgow,G13 1JP,-4.32204,55.893903,,,,,
AJ's Sandwich Shop,14 Tollcross Road,Glasgow,G31 4XD,-4.19669,55.850836,,,,,
Akbars Balti Restaurant,573 Sauchiehall Street,Glasgow,G3 7PQ,-4.273083,55.866048,,,,,
Alba Cafe,481 Great Western Road,Glasgow,G12 8HL,-4.282144,55.875281,,,,,
Alba Catering Ltd,2 Haghill Road,Glasgow,G31 3SR,-4.202495,55.858569,,,,,
Albacore,200 Carlisle Street,Glasgow,,-4.242509842,55.85779953,,,,,
Alberto's,506 Alexandra Parade,Glasgow,G31 3BQ,-4.218008,55.863548,,,,,
Alishan Tandoori,250 Battlefield Road,Glasgow,G42 9HU,-4.262139,55.824889,,,,,
All In One,12 Marne Street,Glasgow,G31 2TD,-4.212686,55.8627,,,,,
Alla Turca Restuarant,192 Pitt Street,Glasgow,G2 4DY,-4.26452,55.865289,,,,,
Al's Diner,70 Cathedral Street,Glasgow,G4 0RN,,,,,,,
AM PM,16 Killermont Street,Glasgow,G2 3NW,-4.25203,55.865428,,,,,
Amalfi Pizzeria,148 West Nile Street,Glasgow,G1 2RQ,-4.253893,55.863929,,,,,
Amarone,4 Nelson Mandela Place,Glasgow,,-4.2535556,55.86203936,,,,,
Amber Regent,50 West Regent Street,Glasgow,G2 2RA,-4.256413,55.86329,,,,,
Amber Restaurant,132 Byres Road,Glasgow,G12 8TD,-4.295156,55.873646,,,,,
Amber's Cafe,18 Balmore Road,Glasgow,G22 6RN,-4.255088,55.884273,,,,,
Amore Ristorante,30 Ingram Street,Glasgow,G1 1EZ,-4.242543,55.859445,,,,,
Amros Tandoori,1228 Royston Road,Glasgow,G33 1EX,-4.193152,55.878212,,,,,
An Clachan Cafe Ltd,5 La Belle Place,Glasgow,G3 7LH,-4.27954,55.866593,,,,,
Anarkali Restaurant,531 Victoria Road,Glasgow,G42 8BH,-4.265291,55.83407,,,,,
Anatolia,140 St Vincent Street,Glasgow,G2 5LA,-4.25852,55.861876,,,,,
Andell's Restauarnt And Tearoom,140 Sauchiehall Street,Glasgow,G2 3DH,-4.258023,55.865157,,,,,
Anne's Snack Bar,183 Fordneuk Street,Glasgow,G40 3SA,-4.218836,55.849486,,,,,
Another Piece,387 Great Western Road,Glasgow,G4 9HY,-4.277598,55.873819,,,,,
Anti Pasti,305 Sauchiehall Street,Glasgow,G2 3HQ,-4.263947,55.865326,,,,,
Aramark,200 Glentanar Road,Glasgow,G22 7XS,-4.259779,55.895646,,,,,
Arisaig,71 Albion Street,Glasgow,G1 1NY,-4.243579,55.858573,,,,,
Aroma,5 Cadogan Street,Glasgow,G2 6QE,-4.260169,55.859446,,,,,
Arta,13 Walls Street,Glasgow,G1 1PA,-4.24317,55.857852,,,,,
Artisan Roast,15 Gibson Street,Glasgow,G12 8NU,-4.282448,55.8723,,,,,
Arty Tarts,3 McLaren Crescent,Glasgow,G20 0LD,-4.285638,55.895285,,,,,
Ashoka Ashton Lane,19 Ashton Lane,Glasgow,G12 8SJ,-4.292992,55.87463,,,,,
Ashoka At The Quay,3 Springfield Quay,Glasgow,G5 8NP,-4.274804,55.855303,,,,,
Ashoka South Side,268 Clarkston Road,Glasgow,G44 3EA,-4.269606,55.812187,,,,,
Ashoka West End,1284 Argyle Street,Glasgow,G3 8AB,-4.290045,55.866929,,,,,
Asia Style,185 St Georges Road,Glasgow,G3 6JD,-4.269402,55.869792,,,,,
